GENESIS-Tabelle: 12211-9018
Durchschnittliche Körpergröße, durchschnittliches;;;;;;;;
Körpergewicht, durchschn. Body-Mass-Index: Deutschland,;;;;;;;;
Jahre (bis 2017), Geschlecht, Familienstand, Altersgruppen;;;;;;;;
Mikrozensus;;;;;;;;
Deutschland;;;;;;;;
;;;2013;2013;2013;2017;2017;2017
;;;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index
;;;m;kg;kg/qm;m;kg;kg/qm
weiblich;Insgesamt;20 bis unter 25 Jahre;1,68;62,9;22,4;1,68;63,1;22,5
weiblich;Insgesamt;25 bis unter 30 Jahre;1,67;64,7;23,1;1,67;65,4;23,4
weiblich;Insgesamt;30 bis unter 35 Jahre;1,67;66,4;23,7;1,67;67,0;24,0
weiblich;Insgesamt;35 bis unter 40 Jahre;1,67;67,5;24,1;1,67;67,9;24,2
weiblich;Insgesamt;40 bis unter 45 Jahre;1,67;68,1;24,4;1,67;68,7;24,6
weiblich;Insgesamt;45 bis unter 50 Jahre;1,67;68,8;24,7;1,67;69,4;24,8
weiblich;Insgesamt;50 bis unter 55 Jahre;1,66;69,7;25,3;1,67;70,1;25,2
weiblich;Insgesamt;55 bis unter 60 Jahre;1,65;70,4;25,8;1,66;70,4;25,6
weiblich;Insgesamt;60 bis unter 65 Jahre;1,64;71,3;26,4;1,65;70,9;26,1
weiblich;Insgesamt;65 bis unter 70 Jahre;1,64;71,2;26,5;1,64;71,3;26,6
weiblich;Insgesamt;70 bis unter 75 Jahre;1,64;70,8;26,4;1,64;70,6;26,3
weiblich;Insgesamt;75 Jahre und mehr;1,62;68,3;26,1;1,62;68,5;26,1
weiblich;Insgesamt;Insgesamt;1,65;68,4;25,0;1,66;68,7;25,1
Insgesamt;ledig;18 bis unter 20 Jahre;1,75;68,8;22,5;1,75;69,2;22,6
Insgesamt;ledig;20 bis unter 25 Jahre;1,75;71,5;23,3;1,75;71,9;23,5
Insgesamt;ledig;25 bis unter 30 Jahre;1,75;73,8;24,0;1,75;75,0;24,4
Insgesamt;ledig;30 bis unter 35 Jahre;1,75;75,9;24,7;1,75;76,8;25,0
Insgesamt;ledig;35 bis unter 40 Jahre;1,75;77,7;25,3;1,76;78,5;25,5
Insgesamt;ledig;40 bis unter 45 Jahre;1,75;79,0;25,7;1,75;80,0;26,0
Insgesamt;ledig;45 bis unter 50 Jahre;1,75;79,9;26,0;1,75;80,7;26,2
Insgesamt;ledig;50 bis unter 55 Jahre;1,74;80,1;26,4;1,75;81,4;26,6
Insgesamt;ledig;55 bis unter 60 Jahre;1,73;80,2;26,8;1,74;80,7;26,7
Insgesamt;ledig;60 bis unter 65 Jahre;1,72;79,4;26,9;1,73;79,9;26,8
Insgesamt;ledig;65 bis unter 70 Jahre;1,72;78,8;26,8;1,71;79,9;27,2
Insgesamt;ledig;70 bis unter 75 Jahre;1,69;75,9;26,4;1,70;78,0;26,8
Insgesamt;ledig;75 Jahre und mehr;1,65;69,8;25,6;1,67;72,0;25,9
Insgesamt;ledig;Insgesamt;1,75;75,0;24,6;1,75;76,0;24,8
Insgesamt;verheiratet;18 bis unter 20 Jahre;1,71;65,3;22,3;1,68;67,8;23,9
Insgesamt;verheiratet;20 bis unter 25 Jahre;1,70;70,3;24,4;1,69;69,2;24,3
Insgesamt;verheiratet;25 bis unter 30 Jahre;1,72;73,1;24,8;1,72;74,0;25,1
Insgesamt;verheiratet;30 bis unter 35 Jahre;1,73;74,9;25,1;1,73;75,7;25,3
Insgesamt;verheiratet;35 bis unter 40 Jahre;1,73;76,5;25,5;1,74;77,0;25,6
Insgesamt;verheiratet;40 bis unter 45 Jahre;1,74;77,6;25,7;1,74;78,3;26,0
Insgesamt;verheiratet;45 bis unter 50 Jahre;1,74;78,1;25,9;1,74;78,8;26,1
Insgesamt;verheiratet;50 bis unter 55 Jahre;1,73;78,7;26,4;1,73;79,2;26,4
Insgesamt;verheiratet;55 bis unter 60 Jahre;1,72;78,9;26,8;1,73;79,4;26,7
Insgesamt;verheiratet;60 bis unter 65 Jahre;1,71;79,4;27,2;1,72;79,5;27,0
Insgesamt;verheiratet;65 bis unter 70 Jahre;1,70;78,7;27,1;1,71;79,4;27,3
Insgesamt;verheiratet;70 bis unter 75 Jahre;1,70;78,0;26,9;1,70;78,1;26,9
Insgesamt;verheiratet;75 Jahre und mehr;1,69;76,1;26,6;1,70;76,4;26,5
Insgesamt;verheiratet;Insgesamt;1,72;77,7;26,3;1,72;78,1;26,4
Insgesamt;verwitwet;18 bis unter 20 Jahre;/;/;/;-;-;-
Insgesamt;verwitwet;20 bis unter 25 Jahre;/;/;/;/;/;/
Insgesamt;verwitwet;25 bis unter 30 Jahre;/;/;/;/;/;/
Insgesamt;verwitwet;30 bis unter 35 Jahre;/;/;/;1,74;74,7;24,8
Insgesamt;verwitwet;35 bis unter 40 Jahre;1,69;73,5;25,8;1,71;76,2;26,1
Insgesamt;verwitwet;40 bis unter 45 Jahre;1,69;72,7;25,5;1,68;71,7;25,3
Insgesamt;verwitwet;45 bis unter 50 Jahre;1,69;73,7;25,8;1,69;75,7;26,4
Insgesamt;verwitwet;50 bis unter 55 Jahre;1,68;74,3;26,5;1,69;75,4;26,5
Insgesamt;verwitwet;55 bis unter 60 Jahre;1,67;75,4;27,0;1,68;75,2;26,8
Insgesamt;verwitwet;60 bis unter 65 Jahre;1,66;75,4;27,3;1,67;76,5;27,4
Insgesamt;verwitwet;65 bis unter 70 Jahre;1,66;75,1;27,3;1,66;75,6;27,4
Insgesamt;verwitwet;70 bis unter 75 Jahre;1,66;74,5;27,1;1,66;75,1;27,2
Insgesamt;verwitwet;75 Jahre und mehr;1,64;70,3;26,3;1,64;71,0;26,4
Insgesamt;verwitwet;Insgesamt;1,65;72,1;26,6;1,65;72,7;26,7
Insgesamt;geschieden;18 bis unter 20 Jahre;/;/;/;/;/;/
Insgesamt;geschieden;20 bis unter 25 Jahre;/;/;/;/;/;/
Insgesamt;geschieden;25 bis unter 30 Jahre;1,70;71,1;24,6;1,70;71,6;24,9
Insgesamt;geschieden;30 bis unter 35 Jahre;1,71;72,6;24,7;1,71;74,8;25,5
Insgesamt;geschieden;35 bis unter 40 Jahre;1,72;75,1;25,5;1,72;75,0;25,3
Insgesamt;geschieden;40 bis unter 45 Jahre;1,73;76,5;25,7;1,72;77,0;25,9
Insgesamt;geschieden;45 bis unter 50 Jahre;1,72;76,7;25,8;1,72;77,4;26,0
Insgesamt;geschieden;50 bis unter 55 Jahre;1,72;77,4;26,2;1,72;77,9;26,2
Insgesamt;geschieden;55 bis unter 60 Jahre;1,71;77,7;26,5;1,72;79,0;26,7
Insgesamt;geschieden;60 bis unter 65 Jahre;1,70;77,7;26,9;1,71;78,3;26,9
Insgesamt;geschieden;65 bis unter 70 Jahre;1,69;77,3;26,9;1,70;77,8;27,0
Insgesamt;geschieden;70 bis unter 75 Jahre;1,68;75,6;26,6;1,69;76,4;26,8
Insgesamt;geschieden;75 Jahre und mehr;1,66;72,5;26,4;1,66;72,9;26,4
Insgesamt;geschieden;Insgesamt;1,71;76,4;26,2;1,71;77,2;26,4
Insgesamt;Insgesamt;18 bis unter 20 Jahre;1,75;68,7;22,5;1,75;69,2;22,6
Insgesamt;Insgesamt;20 bis unter 25 Jahre;1,75;71,4;23,4;1,75;71,8;23,5
Insgesamt;Insgesamt;25 bis unter 30 Jahre;1,74;73,6;24,2;1,75;74,7;24,5
Insgesamt;Insgesamt;30 bis unter 35 Jahre;1,74;75,3;24,9;1,74;76,2;25,1
Insgesamt;Insgesamt;35 bis unter 40 Jahre;1,74;76,8;25,4;1,74;77,4;25,5
Insgesamt;Insgesamt;40 bis unter 45 Jahre;1,74;77,8;25,7;1,74;78,6;26,0
Insgesamt;Insgesamt;45 bis unter 50 Jahre;1,74;78,2;25,9;1,74;79,0;26,1
Insgesamt;Insgesamt;50 bis unter 55 Jahre;1,73;78,6;26,4;1,73;79,3;26,4
Insgesamt;Insgesamt;55 bis unter 60 Jahre;1,72;78,7;26,7;1,72;79,3;26,7
Insgesamt;Insgesamt;60 bis unter 65 Jahre;1,70;78,9;27,1;1,71;79,2;27,0
Insgesamt;Insgesamt;65 bis unter 70 Jahre;1,70;78,1;27,1;1,70;78,8;27,2
Insgesamt;Insgesamt;70 bis unter 75 Jahre;1,69;77,1;26,9;1,70;77,4;26,9
Insgesamt;Insgesamt;75 Jahre und mehr;1,67;73,3;26,4;1,67;74,0;26,5
Insgesamt;Insgesamt;Insgesamt;1,72;76,3;25,9;1,72;77,0;26,0
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 27.05.2024 / 12:03:25
